epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,7798.49,0.64562,0.43,1.08379,0.91711,0.9276,0.96483,0.81964,0.61421,0.56056,1.03731,0.003862,0.003862,0.003862
64,8576.21,0.6453,0.43292,1.08525,0.9173,0.92723,0.96473,0.81997,0.61365,0.55858,1.03674,0.003763,0.003763,0.003763
65,9353.05,0.65775,0.4385,1.09142,0.91655,0.92821,0.96491,0.82019,0.61336,0.55861,1.03617,0.003664,0.003664,0.003664
66,10129.6,0.65455,0.43528,1.08941,0.91665,0.92821,0.9651,0.82023,0.61267,0.56137,1.03552,0.003565,0.003565,0.003565
67,10905.2,0.65204,0.43665,1.08938,0.91871,0.92649,0.9648,0.82012,0.61227,0.56282,1.03508,0.003466,0.003466,0.003466
68,11680.8,0.64636,0.43449,1.09091,0.91821,0.92747,0.96511,0.82058,0.61189,0.56447,1.03496,0.003367,0.003367,0.003367
69,12457.4,0.64543,0.42877,1.08534,0.9179,0.92773,0.96517,0.82135,0.61135,0.56502,1.03454,0.003268,0.003268,0.003268
70,13235.2,0.63884,0.42304,1.07962,0.91705,0.92825,0.96519,0.82137,0.6105,0.56612,1.03384,0.003169,0.003169,0.003169
71,14011.8,0.63838,0.42324,1.07868,0.92278,0.92133,0.96524,0.8217,0.60969,0.56924,1.03303,0.00307,0.00307,0.00307
72,14790.2,0.63165,0.41613,1.07935,0.92282,0.92194,0.96534,0.82213,0.60934,0.56965,1.0327,0.002971,0.002971,0.002971
73,751.687,0.50552,0.31862,1.00585,0.92268,0.9217,0.96543,0.82247,0.60925,0.56537,1.03297,0.002872,0.002872,0.002872
74,1511.34,0.53713,0.33886,1.02272,0.92616,0.91898,0.96548,0.82229,0.6091,0.56437,1.03321,0.002773,0.002773,0.002773
75,2264.42,0.54956,0.34892,1.03451,0.92735,0.91801,0.96537,0.82268,0.60904,0.56343,1.03349,0.002674,0.002674,0.002674
76,3018.87,0.55664,0.35345,1.03908,0.91516,0.9309,0.96559,0.82291,0.60866,0.55881,1.03359,0.002575,0.002575,0.002575
77,3772.3,0.55874,0.35633,1.03887,0.91293,0.93215,0.96555,0.82286,0.60858,0.55634,1.03397,0.002476,0.002476,0.002476
78,4524.37,0.56332,0.35861,1.04122,0.91397,0.93128,0.96523,0.82311,0.60802,0.5537,1.03392,0.002377,0.002377,0.002377
79,5277.48,0.56211,0.35345,1.03586,0.91519,0.9299,0.96531,0.82391,0.60788,0.55097,1.03393,0.002278,0.002278,0.002278
80,6031.31,0.55451,0.35399,1.03239,0.91542,0.92981,0.96552,0.82394,0.60776,0.54518,1.03406,0.002179,0.002179,0.002179
81,780.081,0.47399,0.29801,0.99208,0.91497,0.92993,0.9654,0.82399,0.60763,0.54156,1.03431,0.00208,0.00208,0.00208
82,1578,0.50602,0.3156,1.00893,0.91537,0.92944,0.96536,0.82415,0.60728,0.5402,1.03454,0.001981,0.001981,0.001981
83,2359.54,0.52026,0.32624,1.01597,0.91521,0.93006,0.96522,0.82408,0.60731,0.54091,1.03474,0.001882,0.001882,0.001882
84,3141.58,0.52947,0.33254,1.01974,0.91838,0.92667,0.96506,0.82396,0.6069,0.54149,1.03458,0.001783,0.001783,0.001783
85,3922.96,0.53546,0.3355,1.01958,0.919,0.92606,0.96532,0.82424,0.60658,0.54149,1.03433,0.001684,0.001684,0.001684
86,4705.36,0.5395,0.33997,1.02631,0.91907,0.92698,0.96537,0.82427,0.60649,0.53862,1.0343,0.001585,0.001585,0.001585
87,742.076,0.45433,0.28514,0.98412,0.91935,0.92618,0.96515,0.8244,0.60642,0.53368,1.03481,0.001486,0.001486,0.001486
88,1487.19,0.48593,0.30182,0.99946,0.91924,0.92538,0.96504,0.8243,0.6064,0.53051,1.03522,0.001387,0.001387,0.001387
89,740.739,0.44866,0.28103,0.98036,0.91964,0.9242,0.96504,0.8245,0.60629,0.52683,1.03539,0.001288,0.001288,0.001288
90,1484.65,0.47949,0.29705,0.9962,0.91899,0.92538,0.96469,0.82427,0.60605,0.52489,1.03562,0.001189,0.001189,0.001189
91,2222.38,0.49276,0.27124,0.98767,0.91858,0.92504,0.96468,0.82469,0.60562,0.52492,1.03518,0.00109,0.00109,0.00109
92,2959.77,0.48239,0.26334,0.97726,0.91951,0.92397,0.96474,0.82513,0.60533,0.52424,1.03481,0.000991,0.000991,0.000991
93,3696.17,0.47523,0.25849,0.97418,0.92011,0.9231,0.96463,0.82545,0.60495,0.52384,1.03448,0.000892,0.000892,0.000892
94,4432.23,0.46944,0.25555,0.97478,0.9208,0.92219,0.96475,0.82554,0.6046,0.52347,1.03463,0.000793,0.000793,0.000793
95,5165.78,0.46786,0.25259,0.96865,0.92104,0.92196,0.96486,0.82601,0.60431,0.52253,1.03468,0.000694,0.000694,0.000694
96,5900.48,0.45942,0.25059,0.96305,0.92192,0.92161,0.96478,0.82663,0.60366,0.52158,1.034,0.000595,0.000595,0.000595
97,6635.84,0.45504,0.24444,0.96264,0.92008,0.92342,0.96473,0.82665,0.60306,0.51954,1.0336,0.000496,0.000496,0.000496
98,7371.99,0.44944,0.24078,0.95623,0.92052,0.92305,0.96486,0.82703,0.60228,0.51729,1.03298,0.000397,0.000397,0.000397
99,8107.31,0.44218,0.23687,0.95219,0.92035,0.92329,0.96509,0.82742,0.60162,0.51521,1.03253,0.000298,0.000298,0.000298
100,8841.25,0.444,0.23789,0.95389,0.92052,0.92329,0.96513,0.82801,0.6011,0.51401,1.03219,0.000199,0.000199,0.000199
